add-m,4,10000,80000,176387606,2204,0
add-m,8,10000,160000,288390619,1802,0
add-m,12,10000,240000,437375880,1822,0
add-c,1,10000,20000,20063842,1003,0
add-c,2,10000,40000,22650947,566,0
add-c,4,10000,80000,29346198,366,0
add-c,8,10000,160000,73808756,461,0
add-c,12,10000,240000,94578254,394,0
add-s,1,10000,20000,14853216,742,0
add-s,2,10000,40000,17992200,449,0
add-s,4,10000,80000,43726899,546,0
add-s,8,10000,160000,53251250,332,0
add-s,12,10000,240000,83369847,347,0
